order_id,customer_id,order_date
1,16,2025-02-23
2,67,2025-02-21
3,5,2025-03-22
4,86,2025-04-24
5,60,2025-05-18
6,46,2025-04-09
7,17,2025-02-23
8,96,2025-02-12
9,83,2025-05-24
10,30,2025-03-27
11,51,2025-02-01
12,99,2025-06-24
13,2,2025-05-24
14,80,2025-02-01
15,5,2025-03-16
16,28,2025-02-17
17,82,2025-02-24
18,6,2025-02-07
19,86,2025-05-08
20,83,2025-06-04
21,13,2025-05-14
22,55,2025-04-24
23,21,2025-06-28
24,49,2025-01-26
25,19,2025-06-04
26,99,2025-02-10
27,76,2025-06-09
28,21,2025-01-20
29,16,2025-04-12
30,73,2025-06-29
31,35,2025-04-16
32,62,2025-01-29
33,69,2025-04-15
34,33,2025-04-14
35,4,2025-04-27
36,79,2025-03-26
37,28,2025-06-07
38,61,2025-04-23
39,58,2025-04-05
40,85,2025-06-09
41,40,2025-01-29
42,38,2025-04-01
43,37,2025-06-02
44,24,2025-01-30
45,74,2025-03-19
46,31,2025-01-31
47,85,2025-06-22
48,15,2025-07-03
49,5,2025-01-13
50,51,2025-03-13
51,17,2025-06-09
52,52,2025-05-24
53,1,2025-03-31
54,69,2025-02-13
55,61,2025-03-02
56,66,2025-06-17
57,45,2025-05-11
58,35,2025-03-11
59,12,2025-04-25
60,93,2025-05-09
61,25,2025-06-21
62,78,2025-04-18
63,41,2025-06-02
64,94,2025-05-01
65,48,2025-04-29
66,12,2025-01-31
67,45,2025-03-02
68,76,2025-04-11
69,13,2025-05-31
70,93,2025-02-28
71,22,2025-04-15
72,7,2025-06-01
73,96,2025-07-01
74,3,2025-01-09
75,6,2025-01-10
76,59,2025-03-06
77,93,2025-01-24
78,27,2025-04-23
79,99,2025-05-01
80,18,2025-01-14
81,14,2025-01-09
82,52,2025-07-06
83,91,2025-07-06
84,62,2025-06-18
85,75,2025-04-08
86,75,2025-05-06
87,89,2025-03-20
88,24,2025-03-21
89,49,2025-06-16
90,4,2025-05-03
91,41,2025-06-27
92,92,2025-04-02
93,92,2025-02-25
94,7,2025-07-06
95,89,2025-05-08
96,39,2025-03-23
97,65,2025-05-30
98,87,2025-02-15
99,89,2025-04-30
100,51,2025-04-17
101,71,2025-02-13
102,16,2025-03-24
103,69,2025-06-07
104,1,2025-05-15
105,47,2025-05-01
106,27,2025-06-11
107,83,2025-04-03
108,4,2025-02-05
109,12,2025-01-13
110,83,2025-05-27
111,17,2025-06-08
112,65,2025-05-30
113,7,2025-06-01
114,5,2025-01-25
115,99,2025-05-23
116,36,2025-03-19
117,44,2025-01-27
118,49,2025-03-27
119,29,2025-07-09
120,21,2025-02-24
121,62,2025-05-18
122,18,2025-01-27
123,18,2025-05-21
124,93,2025-02-23
125,93,2025-05-27
126,84,2025-02-08
127,2,2025-01-28
128,55,2025-03-02
129,90,2025-05-23
130,48,2025-06-09
131,41,2025-01-16
132,24,2025-02-18
133,7,2025-05-20
134,41,2025-06-12
135,71,2025-06-29
136,64,2025-04-08
137,3,2025-04-08
138,23,2025-05-10
139,65,2025-02-11
140,70,2025-03-02
141,20,2025-04-10
142,90,2025-02-04
143,2,2025-03-29
144,40,2025-06-13
145,55,2025-05-13
146,28,2025-01-21
147,22,2025-05-16
148,93,2025-05-14
149,99,2025-03-02
150,52,2025-03-17
151,98,2025-01-13
152,94,2025-03-27
153,29,2025-03-01
154,47,2025-04-04
155,15,2025-05-08
156,40,2025-02-07
157,26,2025-03-11
158,40,2025-02-23
159,33,2025-04-04
160,96,2025-02-28
161,1,2025-04-11
162,15,2025-02-24
163,41,2025-03-27
164,51,2025-05-25
165,50,2025-03-26
166,17,2025-04-15
167,91,2025-06-24
168,63,2025-06-05
169,65,2025-05-13
170,69,2025-05-13
171,41,2025-02-24
172,67,2025-02-13
173,69,2025-03-16
174,39,2025-05-05
175,14,2025-05-26
176,63,2025-01-15
177,35,2025-01-16
178,14,2025-03-24
179,39,2025-04-15
180,91,2025-03-14
181,91,2025-03-13
182,30,2025-01-10
183,28,2025-06-27
184,57,2025-05-03
185,6,2025-06-13
186,50,2025-05-11
187,21,2025-01-16
188,48,2025-04-28
189,42,2025-05-06
190,78,2025-04-01
191,41,2025-02-17
192,94,2025-04-16
193,55,2025-04-30
194,49,2025-05-22
195,74,2025-06-23
196,87,2025-01-09
197,81,2025-05-31
198,45,2025-03-28
199,69,2025-03-15
200,17,2025-06-22
201,37,2025-04-30
202,35,2025-06-28
203,71,2025-05-27
204,8,2025-04-10
205,56,2025-04-19
206,21,2025-02-17
207,56,2025-02-16
208,21,2025-01-11
209,17,2025-03-29
210,14,2025-05-02
211,11,2025-01-16
212,91,2025-05-22
213,45,2025-04-20
214,55,2025-01-10
215,75,2025-06-07
216,9,2025-07-03
217,47,2025-06-18
218,99,2025-03-28
219,14,2025-02-27
220,46,2025-03-23
221,83,2025-05-26
222,11,2025-05-10
223,84,2025-01-21
224,99,2025-02-01
225,72,2025-01-21
226,58,2025-05-24
227,46,2025-03-12
228,72,2025-04-16
229,80,2025-05-15
230,91,2025-03-01
231,8,2025-04-08
232,65,2025-03-26
233,34,2025-03-07
234,5,2025-05-22
235,46,2025-03-25
236,93,2025-06-24
237,95,2025-03-14
238,65,2025-05-12
239,54,2025-05-29
240,88,2025-05-29
241,34,2025-07-09
242,11,2025-03-25
243,56,2025-02-28
244,57,2025-02-11
245,80,2025-05-17
246,32,2025-06-22
247,42,2025-02-23
248,50,2025-06-09
249,33,2025-02-13
250,95,2025-04-09
251,49,2025-05-02
252,63,2025-02-21
253,38,2025-01-24
254,94,2025-04-04
255,64,2025-04-19
256,37,2025-05-24
257,72,2025-04-15
258,50,2025-03-10
259,24,2025-02-22
260,69,2025-03-31
261,24,2025-02-12
262,60,2025-03-30
263,84,2025-04-14
264,49,2025-01-23
265,81,2025-02-01
266,93,2025-02-26
267,64,2025-05-03
268,3,2025-05-15
269,65,2025-05-30
270,89,2025-05-19
271,88,2025-06-25
272,95,2025-04-02
273,38,2025-05-28
274,57,2025-06-21
275,25,2025-05-29
276,58,2025-01-27
277,10,2025-04-11
278,87,2025-02-06
279,90,2025-03-06
280,41,2025-04-26
281,19,2025-06-15
282,89,2025-03-04
283,20,2025-02-26
284,42,2025-04-10
285,15,2025-01-24
286,17,2025-04-27
287,69,2025-01-31
288,28,2025-04-22
289,6,2025-05-15
290,86,2025-02-10
291,52,2025-04-01
292,70,2025-06-04
293,100,2025-01-30
294,3,2025-05-26
295,30,2025-04-15
296,26,2025-03-20
297,25,2025-05-30
298,86,2025-04-30
299,51,2025-07-09
300,4,2025-01-09
